temperatura,vacuo,energia
8.94,41.38,479.95
19.75,54.2,448.89
27.97,58.84,446.11
11.82,41.67,476.73
11.6,39.96,473.22
14.28,37.2,467.44
14.1,44.84,468.22
9.26,40.11,460.72
15.06,41.85,466.72
23.33,54.2,440.11
20.6,44.58,466.2
15.51,36.71,465.85
22.22,48.98,447.1
26.11,69.84,427.45
28.73,50.05,436.35
30.68,73.67,429.64
30.37,76.09,435.01
18.22,58.2,451.04
15.27,56.89,456.72
27.44,58.9,442.19
19.8,67.71,446.03
8.85,40.43,491.81
26.92,51.43,437.35
19.88,47.03,456.44
15.15,37.64,463.98
12.75,44.2,471.03
24.99,60.37,437.67
12.07,38.25,470.36
30.28,79.74,433.45
14.43,39.82,470.17
30.8,73.56,432.43
16.58,44.68,458.87
11.02,40.0,468.09
21.73,50.32,442.1
30.32,64.69,436.72
12.84,39.54,468.22
18.85,41.1,462.4
23.66,72.43,439.02
16.77,42.28,465.52
24.08,49.3,443.46
19.4,64.63,453.84
14.18,53.82,465.25
21.7,64.44,448.51
27.18,71.06,430.66
12.6,40.35,475.42
26.42,59.54,438.5
14.57,42.18,465.75
23.97,44.57,448.17
25.92,73.77,432.0
18.31,50.9,455.5
20.37,60.08,454.47
10.9,41.93,477.93
17.15,43.69,463.88
22.25,59.8,451.64
25.24,68.67,442.29
21.36,52.3,448.13
26.71,68.3,436.66
14.89,35.71,469.37
28.37,75.6,439.25
25.18,47.93,441.29
20.94,44.58,463.69
24.8,50.23,453.56
10.46,37.5,472.16
22.49,56.9,449.64
27.57,69.84,426.6
15.5,39.16,469.52
24.78,50.78,443.98
14.12,39.52,465.09
19.4,39.53,457.17
22.84,71.25,433.85
26.39,49.02,438.53
11.89,40.03,471.85
10.48,41.38,481.41
21.18,70.02,442.51
22.68,59.54,437.96
9.33,42.49,478.43
9.68,41.44,479.89
26.01,74.33,435.82
11.95,42.03,465.2
6.3,39.33,489.95
20.03,45.01,460.11
9.77,41.44,481.74
10.08,43.14,478.73
19.13,42.18,456.04
17.36,52.9,458.66
26.08,48.6,438.61
18.01,44.2,456.36
29.05,64.84,442.58
12.32,41.26,470.27
30.65,71.98,429.85
31.25,69.51,428.77
21.7,60.77,444.66
9.51,40.81,475.29
24.1,52.84,444.69
24.87,65.75,435.6
16.8,56.03,461.96
16.72,53.82,458.25
5.67,45.87,478.44
6.02,41.38,490.57
22.68,50.78,447.69
23.55,62.96,447.65
29.6,67.79,442.43
31.9,69.4,436.04
28.96,75.23,439.03
14.02,40.66,465.39
30.83,77.3,435.87
31.73,73.42,430.46
27.2,78.05,430.55
31.49,73.5,432.13
16.37,36.99,463.76
16.6,41.93,467.51
26.08,48.6,438.61
13.11,42.99,472.84
25.63,48.92,439.87
13.79,45.08,469.55
16.64,44.9,460.93
19.82,57.85,447.36
28.69,71.29,433.07
31.11,72.25,434.22
7.77,35.77,479.68
25.09,69.68,439.77
23.63,60.93,439.9
13.92,41.16,465.33
25.06,44.57,443.66
23.76,61.5,441.16
13.26,45.51,472.17
30.63,74.22,430.38
25.86,76.2,438.75
23.04,59.43,442.99
26.62,70.36,441.28
22.69,49.21,449.01
27.61,49.16,441.18
25.95,69.51,434.38
21.78,68.28,443.24
9.23,42.44,481.29
23.63,71.29,442.65
13.13,50.59,470.03
30.56,69.04,442.24
21.47,60.93,442.75
6.39,35.57,487.69
28.55,72.43,430.06
10.94,40.81,476.32
29.14,61.5,437.76
26.17,59.92,444.96
17.34,45.01,459.01
11.49,35.76,472.45
30.71,64.05,438.42
10.41,36.71,474.2
28.8,74.9,434.01
25.13,68.63,446.36
10.66,37.5,472.86
12.25,40.75,475.07
24.74,59.21,440.36
17.25,39.39,465.74
24.81,60.95,446.09
18.36,53.16,457.94
26.48,68.14,432.19
20.32,44.6,460.21
26.31,71.29,432.92
25.64,50.05,440.86
9.82,36.18,475.21
24.22,71.14,438.88
27.09,49.3,437.44
17.08,58.86,449.98
23.82,64.15,447.37
13.7,45.64,467.9
22.93,62.26,438.34
29.19,67.51,446.97
11.64,40.1,477.2
23.56,49.16,443.02
29.94,65.74,440.54
14.95,42.74,464.31
15.29,41.35,466.27
19.74,67.71,446.1
23.77,61.87,445.72
21.84,59.07,448.61
16.23,43.69,466.22
29.9,74.99,436.77
10.45,39.61,477.41
25.14,60.93,437.4
9.52,39.61,478.79
10.95,40.22,477.23
11.43,40.22,477.5
28.65,68.27,432.73
13.69,41.74,471.84
7.29,40.96,488.65
32.22,70.8,433.07
16.32,43.56,463.57
29.12,67.32,435.2
13.47,43.34,468.8
17.36,41.23,459.1
17.96,47.83,454.59
20.88,57.85,450.87
25.68,59.44,444.36
19.3,65.59,452.76
13.39,44.85,469.18
28.31,71.85,429.57
28.68,70.72,435.45
13.51,43.22,465.89
6.49,35.57,486.8
20.59,59.8,453.83
23.67,71.77,434.47
6.58,43.02,488.22
25.8,44.57,450.48
27.0,60.96,450.15
8.99,36.66,481.03
13.27,42.28,468.86
13.73,41.78,464.94
23.19,45.61,454.62
8.14,39.96,477.05
23.09,70.47,439.36
17.54,58.49,453.02
24.93,70.32,436.03
22.73,43.79,460.2
20.42,60.77,447.85
23.43,69.23,441.6
13.56,40.03,472.59
28.18,64.84,443.65
30.93,70.83,440.59
10.51,37.5,474.24
26.49,61.86,440.21
16.65,46.18,465.6
11.22,43.13,473.93
18.66,56.53,459.45
23.27,60.84,440.22
11.91,43.22,472.88
26.13,57.32,441.6
25.31,65.59,440.96
9.26,44.68,478.82
26.58,70.98,434.41
9.57,52.75,470.93
26.45,75.6,436.89
11.33,41.16,468.87
28.95,73.4,440.67
24.34,59.54,440.63
22.54,63.07,442.28
26.96,69.45,436.69
8.5,39.16,485.76
27.36,66.54,436.69
19.7,43.79,464.41
29.9,74.99,436.77
24.34,62.96,446.09
9.66,41.06,482.2
15.24,37.87,463.09
26.42,59.39,438.54
16.57,41.79,452.84
29.36,78.05,434.29
10.74,40.05,477.93
26.76,48.41,440.63
30.02,73.5,429.84
22.75,58.79,445.67
22.98,73.17,438.5
15.42,40.56,469.33
10.07,44.68,477.52
23.26,58.2,446.87
21.1,62.66,448.8
20.1,57.17,452.67
32.41,67.83,426.85
11.61,41.17,476.81
11.72,40.92,465.88
10.68,37.92,474.03
23.68,68.12,441.54
22.35,63.94,443.9
21.98,58.79,448.84
9.48,40.8,485.36
7.05,43.65,480.47
16.61,43.77,457.66
19.5,52.72,457.26
23.33,72.99,440.04
10.72,41.17,479.21
26.3,71.94,428.83
10.76,44.58,483.54
7.57,39.61,480.86
15.42,37.85,467.33
17.58,44.9,459.78
18.09,43.72,453.02
13.21,45.87,463.1
30.26,71.77,429.27
25.89,58.86,445.17
28.43,63.31,432.62
18.32,45.0,471.43
19.36,39.54,458.75
22.51,68.63,450.75
31.92,75.33,436.38
9.44,43.99,475.01
25.92,60.95,442.84
7.31,42.18,477.38
23.07,50.05,442.97
25.34,59.39,439.8
17.77,43.72,456.34
15.31,41.35,466.5
30.02,69.04,440.49
17.85,48.14,451.9
22.61,60.27,440.98
20.32,44.6,460.21
21.24,60.84,445.71
18.99,44.58,468.35
19.09,65.94,446.34
21.91,63.76,445.04
10.55,41.92,470.95
8.16,39.3,483.17
26.41,60.93,436.71
32.07,71.29,426.96
22.59,59.43,442.0
25.9,71.73,434.84
30.54,70.17,434.62
18.42,58.95,452.1
8.94,43.13,483.63
26.93,67.07,437.76
19.62,52.05,456.81
30.25,68.24,432.05
27.09,65.61,442.94
29.98,76.09,432.0
27.06,43.77,442.15
25.3,71.29,437.17
28.5,76.86,430.62
15.43,41.1,467.21
22.69,59.44,446.43
13.68,41.7,464.46
29.52,75.33,433.39
11.48,41.2,478.34
14.12,39.4,468.63
20.24,56.53,455.25
28.5,79.74,433.08
20.06,60.77,447.35
10.08,41.16,469.17
22.43,63.21,447.98
14.48,40.83,469.64
30.36,68.08,429.97
20.61,48.78,449.38
26.03,70.32,438.15
13.91,44.58,472.67
29.25,71.94,427.49
9.08,40.02,476.69
10.04,41.62,463.87
12.31,44.78,468.29
9.0,40.78,468.5
33.6,77.17,430.32
29.72,74.78,438.19
26.24,77.95,438.01
18.11,58.95,454.29
11.99,38.28,469.23
30.98,69.82,438.44
26.78,52.3,441.21
33.24,74.34,435.5
32.78,71.22,438.77
9.03,40.71,484.97
22.89,65.34,450.53
8.73,41.92,480.99
26.43,58.41,444.74
26.09,60.23,445.88
15.55,45.09,457.36
10.81,44.63,473.86
23.66,60.37,438.59
25.92,60.95,442.84
32.31,66.44,428.44
24.56,71.94,437.97
12.8,44.9,466.95
21.97,68.12,443.39
23.09,63.91,447.9
21.06,50.59,454.15
9.47,41.4,479.68
21.17,58.16,452.02
18.11,52.08,449.99
15.5,39.16,469.52
22.28,59.92,437.85
31.33,73.03,438.49
14.93,39.39,468.88
27.05,59.15,441.39
14.77,48.06,461.52
15.21,43.5,464.08
25.96,63.77,445.26
24.43,58.05,445.68
24.97,58.95,440.03
12.78,41.04,461.61
25.4,70.4,439.04
18.36,53.16,458.47
8.51,40.81,481.02
24.47,70.94,436.29
18.78,54.2,448.04
22.43,69.84,436.19
12.02,41.92,465.82
5.76,40.07,494.67
8.09,43.02,484.35
22.84,71.25,433.85
26.76,48.41,440.63
19.73,56.65,457.46
25.62,63.13,439.13
17.23,41.1,464.18
12.54,44.03,471.86
7.55,38.08,485.49
18.43,44.63,458.75
23.55,65.94,443.98
10.14,42.02,472.17
19.6,60.95,456.06
21.01,50.9,453.99
22.74,61.02,445.56
5.45,39.04,487.33
14.38,40.1,467.28
10.82,37.5,473.9
18.59,65.06,450.4
26.5,66.05,440.15
7.97,39.04,483.3
10.55,41.26,473.6
23.27,65.48,443.43
11.22,41.66,477.53
25.67,58.59,451.03
10.03,42.18,475.74
28.76,69.48,430.14
21.11,69.94,439.91
14.43,38.28,467.12
18.24,49.5,464.13
29.7,57.19,436.29
9.43,41.4,475.8
31.46,71.8,434.96
15.92,41.2,468.91
25.72,66.86,439.97
29.75,70.32,427.2
21.7,64.44,448.51
19.93,62.1,450.57
33.58,77.54,433.75
8.94,36.71,477.62
15.92,39.16,460.45
18.27,58.2,448.17
18.13,60.1,455.82
21.69,57.17,446.61
25.45,69.59,445.61
18.87,52.08,449.61
19.58,50.12,449.44
30.76,73.17,430.98
10.61,43.79,480.28
23.75,66.54,436.57
29.23,74.22,428.9
18.41,44.9,453.12
9.86,42.49,477.78
15.25,39.16,471.05
16.19,36.99,462.94
16.85,41.35,463.37
12.16,45.0,482.99
16.38,46.97,459.87
31.44,79.74,431.69
30.7,69.59,433.4
22.89,74.78,443.7
13.89,35.71,468.54
22.72,69.84,436.7
26.9,59.14,436.16
8.55,36.25,480.68
9.24,41.4,476.9
31.5,70.32,435.13
31.68,74.16,434.61
33.63,77.54,431.81
29.52,75.33,433.39
15.11,43.67,467.82
17.72,48.14,457.44
18.12,58.95,449.28
26.01,61.47,435.78
21.44,48.98,454.5
28.51,74.78,434.43
16.14,44.63,463.5
18.83,47.83,454.23
29.63,69.59,438.64
8.67,40.77,479.23
21.12,49.15,456.92
27.32,66.54,431.33
11.47,43.67,475.72
25.57,66.54,430.92
30.39,70.98,435.48
23.39,63.94,441.44
24.38,47.01,454.85
14.5,39.0,465.32
15.42,37.85,467.33
31.37,76.86,431.03
24.66,69.94,432.68
19.83,63.94,448.03
11.54,45.0,482.34
27.54,74.22,430.72
14.13,43.7,469.28
28.81,64.96,427.91
11.05,40.75,478.07
18.26,59.15,452.03
23.45,70.04,436.46
10.34,41.46,478.03
22.45,41.54,460.07
18.8,44.71,459.85
27.69,69.71,440.43
23.23,56.89,441.85
25.9,71.73,434.84
10.59,37.5,471.38
12.74,39.13,468.57
11.62,39.72,471.56
26.3,67.07,433.72
23.44,62.52,447.19
14.17,39.59,464.17
19.41,49.39,449.24
13.25,43.7,472.22
15.27,41.16,467.01
6.19,41.31,485.08
28.69,58.33,448.54
25.68,70.17,433.92
17.51,39.54,462.12
20.34,59.8,453.54
26.03,69.68,449.54
25.17,72.39,432.45
31.43,69.89,426.15
24.65,72.43,437.59
6.76,39.81,483.16
28.77,58.33,448.06
23.95,58.46,440.75
22.73,63.73,441.75
7.32,39.42,476.12
32.32,67.9,428.12
29.36,68.94,431.39
20.01,59.87,448.39
27.18,61.41,449.7
9.24,41.4,476.9
22.41,70.98,441.51
25.69,64.45,450.94
24.05,70.4,442.07
12.11,41.17,475.53
27.91,64.79,440.53
20.25,44.78,462.44
28.5,72.99,433.24
14.42,48.92,461.14
16.14,44.21,461.03
14.64,42.77,464.27
30.83,71.58,432.11
6.5,38.5,486.78
20.98,42.23,461.9
21.68,64.15,454.32
27.69,69.98,433.47
24.37,65.61,443.13
18.68,62.1,453.25
14.51,44.84,465.09
15.11,43.13,466.74
20.76,44.58,462.01
9.82,39.64,477.93
18.12,50.16,453.29
12.07,38.25,470.36
27.84,71.32,431.37
26.26,74.9,437.44
6.93,38.68,482.37
29.74,70.32,432.69
19.66,58.79,447.93
14.81,44.88,464.65
18.25,43.14,462.78
25.16,58.82,442.0
23.34,59.14,439.6
18.67,58.46,447.16
26.22,67.45,440.17
30.38,74.16,432.84
6.44,39.33,490.57
19.47,58.79,450.17
14.56,41.76,464.3
26.19,49.3,440.13
25.59,73.5,435.48
12.27,41.17,475.13
20.29,49.69,454.74
10.05,40.23,475.48
32.39,79.74,430.12
21.63,71.85,434.1
9.3,38.18,480.14
33.82,72.29,432.13
12.32,41.62,464.72
10.52,41.01,466.75
14.33,43.41,462.94
26.43,75.33,431.79
6.09,43.65,485.96
26.66,70.02,439.99
24.85,67.9,445.18
28.78,64.96,432.66
23.94,51.95,448.67
6.57,39.37,487.94
27.2,65.18,436.99
7.65,36.3,482.56
21.71,58.05,449.38
29.71,71.85,428.49
11.83,45.09,470.32
20.94,44.78,465.57
12.58,43.67,472.65
9.35,44.03,476.25
11.83,43.14,471.98
17.82,65.48,449.21
22.21,60.77,444.57
7.54,40.72,485.92
9.23,39.66,481.77
25.21,49.82,450.75
29.56,71.14,432.09
8.14,39.96,477.05
26.85,71.73,429.97
27.46,69.98,435.36
31.7,76.09,441.36
7.41,40.81,488.48
19.81,56.65,457.72
20.48,39.72,455.58
14.74,43.71,465.49
24.5,58.66,451.03
25.89,48.41,440.92
6.57,39.37,487.94
21.04,47.43,450.27
31.07,64.96,428.63
22.99,56.57,445.44
14.22,42.32,465.0
13.07,43.13,471.47
13.18,40.03,470.88
32.21,68.3,429.66
14.55,40.73,458.82
15.28,48.14,460.75
29.29,70.02,438.84
16.18,41.66,465.82
29.18,71.43,443.75
12.8,44.9,466.95
21.14,58.05,449.74
22.91,61.86,441.24
25.99,63.07,442.16
13.83,38.73,469.81
13.42,40.35,472.57
32.51,69.98,428.37
21.96,48.78,451.58
9.53,38.18,476.54
26.67,59.44,441.29
25.77,65.48,440.96
10.81,44.63,473.86
10.03,42.18,475.74
25.47,65.34,445.39
12.77,40.71,471.59
13.48,41.26,466.88
31.86,73.88,435.91
11.72,40.35,476.41
10.77,44.78,470.66
28.39,65.51,438.78
21.75,65.12,452.89
31.98,73.42,432.2
27.62,67.51,442.13
29.3,69.48,429.42
12.24,40.66,464.7
28.75,64.69,437.94
30.2,56.9,436.17
23.92,66.54,441.9
17.5,42.44,466.78
31.19,68.3,430.48
23.75,60.29,449.57
9.83,38.56,480.47
19.8,57.25,451.75
23.38,48.78,446.18
10.09,41.01,471.15
22.85,59.15,448.61
4.97,40.64,485.43
26.74,59.87,447.88
21.75,60.27,444.19
14.77,48.06,461.52
10.42,39.35,478.52
7.3,39.72,485.1
15.43,39.16,470.74
13.96,39.54,468.82
22.1,71.29,442.35
22.1,65.94,443.95
22.83,41.1,449.99
4.65,35.19,489.36
12.24,41.62,461.23
14.88,41.66,468.55
17.2,58.49,458.5
27.47,69.98,431.11
25.17,68.08,437.01
14.82,42.74,466.34
27.16,56.85,437.4
20.74,58.2,450.4
14.53,39.0,464.86
22.26,69.04,444.73
30.98,69.82,438.44
15.12,43.79,470.11
24.06,71.25,438.85
24.18,66.48,434.5
25.88,63.47,443.94
12.53,42.03,469.18
28.61,68.12,435.28
14.08,39.31,464.16
28.07,68.08,437.65
25.31,49.82,453.05
22.72,63.73,448.56
27.56,63.9,442.43
29.92,69.75,441.5
30.21,69.4,438.18
13.96,40.83,469.86
26.13,79.74,431.29
37.11,68.94,429.25
15.98,41.48,456.31
10.24,41.17,479.78
26.95,70.79,430.07
31.45,68.27,430.81
26.88,60.96,446.77
23.42,63.07,444.23
27.88,75.23,439.33
20.62,68.12,447.16
30.69,74.16,435.17
22.48,67.45,445.55
11.01,43.69,477.3
28.92,66.51,439.09
23.79,59.44,448.67
16.82,49.15,462.22
21.73,69.05,439.01
20.34,69.45,442.73
23.37,65.46,447.07
27.39,69.14,435.22
19.43,52.9,456.08
29.13,62.26,436.37
14.24,39.58,469.94
23.1,66.05,439.03
9.63,43.02,480.21
33.83,67.9,428.12
29.48,59.27,440.72
21.98,55.97,442.65
8.36,40.22,484.66
13.21,45.87,463.1
19.68,44.34,468.27
25.88,74.67,434.81
23.19,67.07,442.45
6.44,39.33,490.57
13.48,40.35,474.72
19.26,44.34,467.72
18.5,47.03,460.08
24.41,52.3,442.62
30.07,70.04,426.35
12.72,40.64,475.73
8.35,42.85,483.63
23.11,68.3,437.91
9.76,39.16,482.38
31.25,68.94,434.51
6.57,39.37,487.94
11.09,41.58,464.81
21.97,58.12,449.6
24.9,58.49,444.19
13.78,38.28,467.43
23.58,70.04,435.47
32.14,68.31,436.15
19.67,44.71,464.99
20.74,49.69,454.59
15.3,43.14,466.0
15.2,40.55,465.09
23.04,57.32,442.01
22.7,66.44,444.02
32.15,72.29,435.71
22.58,41.54,460.95
14.49,42.86,468.4
30.38,71.58,433.75
23.01,44.05,450.67
25.93,69.34,434.08
21.89,74.93,448.47
6.14,39.4,485.94
19.22,65.06,446.98
18.87,43.43,454.58
27.76,65.59,439.03
19.38,63.56,452.01
25.42,74.22,433.97
23.75,68.51,441.61
16.05,38.28,466.75
27.66,59.21,438.57
24.33,46.93,447.43
24.29,62.91,442.18
32.8,68.67,432.28
26.65,74.16,431.47
28.15,74.9,433.63
22.33,45.87,447.02
33.2,73.88,438.12
23.96,65.34,449.23
16.54,42.86,465.26
13.7,42.86,470.28
7.64,41.17,488.53
21.48,47.43,449.2
19.62,58.79,446.29
18.92,67.71,446.77
28.85,68.12,436.15
30.16,73.17,434.43
8.83,41.14,474.51
29.75,70.32,427.2
9.86,43.56,481.87
19.62,62.96,456.02
25.13,51.95,447.7
16.98,63.09,450.55
25.74,63.73,441.9
16.55,41.93,466.77
28.21,70.8,435.99
11.12,41.54,477.69
5.86,40.62,480.71
29.01,70.04,430.26
13.5,54.3,468.92
24.58,48.98,459.79
23.48,65.12,445.66
25.35,72.99,436.29
29.75,70.32,427.2
18.92,62.26,451.51
20.36,60.1,454.25
23.45,69.04,442.48
28.21,70.02,442.47
10.01,41.17,479.4
28.44,67.07,433.15
27.32,76.09,443.13
31.98,64.05,439.56
10.81,44.63,473.86
10.52,41.78,474.58
28.82,65.71,449.18
11.37,40.56,478.88
20.68,63.86,447.84
20.55,48.98,452.52
7.84,43.52,483.79
21.19,50.16,450.33
25.14,49.02,438.53
22.92,60.37,438.86
13.4,41.78,466.68
21.59,66.54,441.71
30.55,71.06,432.6
24.67,68.14,438.4
8.03,40.67,492.26
32.98,73.88,440.28
7.5,38.06,485.98
15.29,38.73,468.62
18.64,52.08,451.3
22.89,74.78,443.7
7.94,40.56,488.01
18.18,50.16,451.14
24.27,68.28,445.23
14.91,46.9,461.73
13.56,39.18,470.38
33.43,69.88,435.59
20.55,68.63,453.47
7.09,43.65,483.42
9.93,41.62,464.64
26.65,74.16,431.47
8.73,36.18,479.25
20.68,42.04,464.14
16.22,37.87,461.06
27.01,43.21,434.09
21.38,60.84,445.8
26.05,65.27,440.75
28.43,68.08,433.05
19.45,46.33,452.82
21.95,57.76,452.27
24.85,67.9,445.18
10.22,39.16,478.45
14.38,40.71,473.41
17.55,43.14,461.58
5.74,40.62,481.15
8.3,43.13,484.07
10.41,41.01,472.82
14.57,42.18,465.75
32.96,69.75,435.56
18.01,62.26,451.14
20.45,69.45,441.83
21.07,67.07,446.05
14.46,44.78,459.31
16.97,44.92,460.21
28.32,68.12,433.59
15.16,40.73,459.19
21.55,44.05,443.48
21.84,60.29,454.4
27.59,54.2,439.31
25.15,73.67,435.9
24.05,67.83,442.53
9.33,44.03,474.15
7.54,37.7,481.56
28.28,61.86,439.65
26.42,59.27,443.94
12.64,40.69,474.08
15.15,53.82,461.6
7.61,41.26,480.68
18.24,59.15,449.48
26.85,66.86,438.26
22.93,58.2,444.95
24.14,60.07,440.17
22.55,70.79,436.43
27.54,68.27,433.0
24.74,59.39,437.49
29.25,72.99,429.12
10.19,44.63,472.45
24.33,46.93,447.54
29.1,50.05,438.66
30.91,70.32,433.71
15.25,43.02,467.23
24.82,74.87,434.46
14.87,35.71,468.75
19.82,46.63,456.36
17.99,43.72,453.02
27.97,69.48,432.18
25.6,66.48,435.12
12.24,41.2,473.22
25.9,47.45,443.13
23.62,73.67,438.33
30.7,74.22,432.51
14.8,40.2,466.27
31.26,68.94,438.03
33.62,77.17,431.03
28.37,75.6,439.25
20.23,57.76,452.5
10.07,40.92,467.01
8.46,39.42,474.42
15.69,37.87,465.41
22.95,70.98,438.83
14.6,44.84,464.88
19.05,67.32,447.47
30.31,77.24,435.28
8.18,40.02,478.81
17.7,48.98,454.41
19.81,43.56,460.59
12.7,39.72,467.77
24.54,48.41,439.79
28.66,77.95,431.23
14.91,43.34,461.27
30.88,67.83,425.36
12.41,37.92,470.49
24.28,68.31,440.07
7.24,41.17,486.76
19.49,46.63,451.31
13.89,45.08,467.74
22.85,47.43,448.15
28.08,59.14,438.83
15.48,41.66,467.06
18.32,47.83,454.11
9.44,43.99,475.01
25.91,67.07,441.74
9.54,41.17,481.18
23.7,64.45,451.16
26.86,71.32,430.44
7.98,39.61,479.78
14.77,41.39,470.21
28.81,69.23,433.74
18.48,58.59,452.52
11.08,38.16,473.32
25.35,66.56,436.51
13.97,45.01,461.96
12.24,41.62,461.23
30.66,73.77,430.0
10.33,40.6,478.3
27.0,59.15,440.58
19.27,50.9,455.09
26.13,71.64,439.73
14.47,41.76,464.0
15.47,46.48,462.58
6.77,38.18,484.31
11.75,71.14,466.56
15.77,41.79,455.87
10.29,40.56,481.7
16.53,46.18,458.67
7.62,44.71,486.07
18.18,44.63,455.57
13.32,41.7,451.93
14.47,44.66,464.41
21.65,56.89,445.93
25.76,71.06,433.75
9.32,37.73,477.91
22.29,43.79,461.23
12.03,40.75,474.97
7.0,38.5,489.52
30.96,69.82,438.74
16.5,44.63,458.78
23.74,63.9,445.47
16.39,41.67,467.68
23.85,69.45,439.67
30.14,67.69,426.91
30.05,56.9,437.55
3.38,41.31,489.11
17.36,44.63,456.98
21.38,60.84,445.8
13.92,39.58,465.67
30.28,74.67,428.27
24.73,70.72,439.3
5.7,40.35,488.8
29.37,74.78,434.2
17.45,50.9,458.67
32.06,71.85,426.07
19.5,65.12,453.99
14.66,42.07,462.77
24.47,57.85,445.37
27.71,69.13,432.54
7.19,40.81,487.15
11.77,39.39,478.51
15.31,40.66,458.26
27.16,72.58,429.59
22.4,68.31,446.91
20.01,56.65,457.01
13.67,38.53,470.39
27.98,74.78,436.82
9.76,41.01,467.6
25.87,59.43,440.26
15.56,41.04,457.11
22.69,48.14,448.52
31.98,70.17,430.92
26.43,66.48,435.59
19.31,67.71,446.23
21.54,69.48,443.15
20.42,45.01,451.28
29.86,70.8,437.47
26.81,56.57,442.94
4.96,40.07,494.75
18.5,52.08,451.23
8.07,41.17,484.54
31.7,76.09,441.36
12.52,40.24,470.56
20.84,65.06,445.74
6.57,42.07,483.86
13.25,43.7,472.22
14.64,53.82,463.18
10.8,41.66,475.51
10.38,40.71,481.3
5.85,41.55,484.47
13.7,43.22,463.99
21.94,57.5,451.1
