nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Breath of Fire III,PSP,Role-Playing,Capcom,0.02,,,,,,
Silent Hill HD Collection,X360,Action,Konami Digital Entertainment,0.13,20-Mar-12,69.0,17.0,5.7,72.0,Konami
Geometry Wars: Galaxies,Wii,Shooter,Vivendi Games,0.12,20-Nov-07,80.0,55.0,8.2,25.0,Kuju Entertainment
Red Dead Redemption: Undead Nightmare,PS3,Action,Take-Two Interactive,1.02,22-Nov-10,,,6.8,12.0,Rockstar San Diego
Killzone: Liberation,PSP,Shooter,Sony Computer Entertainment,0.85,31-Oct-06,77.0,56.0,8.4,63.0,Guerrilla
Hannah Montana: The Movie,PS3,Adventure,Disney Interactive Studios,0.2,7-Apr-09,,,2.5,13.0,n-Space
LEGO The Lord of the Rings,X360,Action,Warner Bros. Interactive Entertainment,1.02,13-Nov-12,80.0,49.0,8.5,57.0,TT Games
Pro Evolution Soccer 2013,PS3,Sports,Konami Digital Entertainment,1.36,25-Sep-12,82.0,37.0,6.6,109.0,Konami
Viking: Battle for Asgard,X360,Action,Sega,0.42,25-Mar-08,68.0,67.0,8.2,72.0,Creative Assembly
The Idolmaster: Gravure For You! Vol.8,PS3,Action,Namco Bandai Games,0.02,,,,,,
F.E.A.R. 2: Project Origin,X360,Shooter,Warner Bros. Interactive Entertainment,0.5,10-Feb-09,77.0,68.0,8.1,91.0,Monolith Productions
Resident Evil 5,X360,Action,Capcom,3.37,13-Mar-09,83.0,91.0,7.5,403.0,Capcom
Lumines ll,PSP,Puzzle,Disney Interactive Studios,0.3,,,,,,
Solitaire & Mahjong,Wii,Puzzle,Crave Entertainment,0.11,,,,,,
Little League World Series Baseball 2008,Wii,Sports,Activision,0.09,5-Aug-08,70.0,8.0,8,6.0,Now Production
Remember Me,PS3,Action,Capcom,0.2,4-Jun-13,72.0,37.0,7.4,304.0,DONTNOD Entertainment
Elminage III: Ankoku no Shito to Yaiyou no Kyuuden,PSP,Role-Playing,Starfish,0.02,,,,,,
Imagine: Party Babyz,Wii,Simulation,Ubisoft,0.36,11-Nov-08,,,7.3,12.0,Ubisoft
Let's Dance with Mel B,X360,Sports,Black Bean Games,0.02,24-Apr-12,,,tbd,,Lightning Fish Games
Fable II,X360,Role-Playing,Microsoft Game Studios,4.16,21-Oct-08,89.0,95.0,6.4,2260.0,Lionhead Studios
XBLAZE Code: Embryo,PSV,Adventure,Arc System Works,0.01,24-Jun-14,,,,,Arc System Works
Dynasty Warriors: Gundam 2,X360,Action,Namco Bandai Games,0.19,21-Apr-09,49.0,30.0,7.3,15.0,Omega Force
Monster Lab,Wii,Role-Playing,Eidos Interactive,0.3,4-Nov-08,73.0,11.0,8.4,11.0,Backbone Entertainment
Blood Drive,X360,Racing,Activision,0.1,2-Nov-10,40.0,21.0,5.9,7.0,Sidhe Interactive
Hyperdimension Idol Neptunia PP,PSV,Action,Compile Heart,0.04,,,,,,
Grand Slam Tennis 2,PS3,Sports,Electronic Arts,0.18,14-Feb-12,73.0,36.0,5.4,14.0,EA Sports
The Fight: Lights Out,PS3,Fighting,Sony Computer Entertainment,0.51,9-Nov-10,48.0,39.0,7.5,67.0,Coldwood Interactive
Jillian Michaels' Fitness Ultimatum 2009,Wii,Sports,Deep Silver,1.26,21-Oct-08,30.0,4.0,2,22.0,3G Studios
The Orange Box,PS3,Shooter,Electronic Arts,1.0,11-Dec-07,89.0,21.0,8.3,150.0,EA Games
Suzumiya Haruhi no Gekidou,Wii,Adventure,Kadokawa Shoten,0.07,,,,,,
SD Gundam G Generation Wars,Wii,Strategy,Namco Bandai Games,0.06,,,,,,
Cranium Kabookii,Wii,Misc,Ubisoft,0.14,4-Dec-07,64.0,9.0,4.8,11.0,Ubisoft Quebec
50 Cent: Blood on the Sand,X360,Shooter,THQ,0.2,24-Feb-09,71.0,54.0,6.2,47.0,Swordfish Studios
Pro Evolution Soccer 2014,PSP,Action,Konami Digital Entertainment,0.07,TBA 2013,,,,,Konami
Backyard Sports: Sandlot Sluggers,X360,Sports,Atari,0.08,25-May-10,,,3.8,4.0,HB Studios Multimedia
MLB 2K12 / NBA 2K12 Combo Pack,X360,Sports,Take-Two Interactive,0.03,,,,,,
Minna ga Shuyaku no NHK Kouhaku Quiz Kassen,Wii,Misc,Nintendo,0.04,,,,,,
Heathcliff! The Fast and the Furriest,Wii,Racing,Storm City Games,0.03,5-Nov-10,,,tbd,,Storm City Games
Dishonored,X360,Shooter,Bethesda Softworks,1.52,9-Oct-12,88.0,56.0,7.8,657.0,Arkane Studios
Karaoke Revolution Presents American Idol Encore 2,PS3,Misc,Konami Digital Entertainment,0.1,18-Nov-08,,,tbd,,Blitz Games
Need For Speed: Undercover,PS3,Racing,Electronic Arts,1.96,17-Nov-08,59.0,40.0,5.8,60.0,EA Vancouver
Star Ocean: The Last Hope,X360,Role-Playing,Square Enix,0.75,23-Feb-09,72.0,56.0,7.3,135.0,"Tri-Ace, Square Enix"
FIFA Soccer 09,PSP,Sports,Electronic Arts,1.32,13-Oct-08,84.0,8.0,8.9,21.0,EA Canada
Ford Bold Moves Street Racing,PSP,Racing,Xplosiv,0.04,17-Oct-06,52.0,19.0,tbd,,Razorworks Studios
You Don't Know Jack,PS3,Misc,THQ,0.15,8-Feb-11,82.0,11.0,7,15.0,"Jellyvision, Iron Galaxy Studios"
No More Heroes: Red Zone,PS3,Action,Marvelous Interactive,0.09,,,,,,
Puzzle Quest: Challenge of the Warlords,Wii,Puzzle,D3Publisher,0.29,30-Nov-07,71.0,17.0,6.2,5.0,Vicious Cycle
The Sims 2: Pets,PSP,Simulation,Electronic Arts,0.78,14-Dec-06,57.0,9.0,7.8,9.0,Maxis
Super Robot Taisen UX,3DS,Role-Playing,Namco Bandai Games,0.18,,,,,,
Shaun White Snowboarding: Road Trip,Wii,Sports,Ubisoft,1.64,16-Nov-08,78.0,28.0,8.6,21.0,Ubisoft
Blitz: The League II,X360,Sports,Midway Games,0.09,13-Oct-08,68.0,34.0,6.8,9.0,Midway
ToraDora Portable!,PSP,Adventure,Namco Bandai Games,0.08,,,,,,
NBA 2K12,Wii,Sports,Take-Two Interactive,0.32,4-Oct-11,,,6.8,6.0,Visual Concepts
Samurai Warriors Chronicles 2nd,3DS,Action,Ubisoft Annecy,0.1,,,,,,
Kamen Rider: Climax Heroes OOO,Wii,Fighting,Namco Bandai Games,0.15,,,,,,
Warriors: Legends of Troy,PS3,Action,Tecmo Koei,0.16,15-Mar-11,44.0,22.0,6.3,18.0,Tecmo Koei Canada
UFC 2009 Undisputed,PS3,Fighting,THQ,1.72,19-May-09,84.0,58.0,8.2,40.0,THQ
NCAA Football 07,PSP,Sports,Electronic Arts,0.36,18-Jul-06,75.0,16.0,7.9,11.0,EA Sports
Yoostar2,X360,Misc,Unknown,0.19,8-Mar-11,50.0,25.0,3.1,7.0,Blitz Games Studios
Final Fantasy IV: The Complete Collection,PSP,Role-Playing,Square Enix,0.5,19-Apr-11,77.0,41.0,8,49.0,Bullets
Gitaroo Man Lives!,PSP,Misc,Tecmo Koei,0.04,,,,,,
Prince of Persia: Rival Swords,Wii,Action,Ubisoft,0.28,3-Apr-07,70.0,30.0,7.8,19.0,Ubisoft Montreal
Monster Kingdom: Jewel Summoner,PSP,Role-Playing,Sony Computer Entertainment,0.04,19-Feb-07,66.0,25.0,8.3,4.0,Gaia (Sony)
Sonic & Sega All-Stars Racing Transformed ,WiiU,Action,Sega,0.3,,,,,,
Warriors Orochi,X360,Action,Tecmo Koei,0.18,18-Sep-07,53.0,27.0,7.5,10.0,Omega Force
Yuusha no Kuse ni Namaikida (PSP the Best sales),PSP,Role-Playing,Sony Computer Entertainment,0.01,,,,,,
Earth Defense Force 2017,X360,Shooter,D3Publisher,0.06,20-Mar-07,69.0,55.0,7.6,54.0,Sandlot
Heroes over Europe,X360,Simulation,Ubisoft,0.12,15-Sep-09,62.0,39.0,8.1,9.0,Transmission Games
Driver: San Francisco,PS3,Racing,Ubisoft,0.83,6-Sep-11,79.0,53.0,7.5,85.0,Ubisoft Reflections
Deadly Premonition,X360,Action,Rising Star Games,0.24,17-Feb-10,68.0,39.0,8.3,271.0,Access Games
NBA Jam,PS3,Sports,Electronic Arts,0.32,15-Nov-10,71.0,33.0,5.7,14.0,EA Canada
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,4.7,16-Nov-07,88.0,66.0,8.2,1439.0,"Naughty Dog, SCE/WWS"
Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,Strategy,Tecmo Koei,0.07,,,,,,
Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,0.2,16-Feb-10,59.0,18.0,6.7,9.0,Omega Force
Pro Yakyuu Spirits 2011,PSP,Sports,Konami Digital Entertainment,0.24,,,,,,
The Idolmaster: Gravure For You! Vol.9,PS3,Action,Namco Bandai Games,0.02,,,,,,
Sonic Generations,X360,Platform,Sega,1.08,1-Nov-11,77.0,49.0,8.1,208.0,Sega
WRC: FIA World Rally Championship,PSP,Racing,Sony Computer Entertainment,0.03,18-Apr-06,67.0,18.0,8.1,17.0,Traveller's Tales
Rock Band 2,X360,Misc,Electronic Arts,2.16,14-Sep-08,92.0,69.0,8.3,139.0,Harmonix Music Systems
Record of Agarest War Marriage,PSP,Action,Compile Heart,0.04,,,,,,
Spirit Camera: The Cursed Memoir,3DS,Adventure,Nintendo,0.14,13-Apr-12,54.0,35.0,6.2,19.0,Tecmo Koei Games
Zwei!!,PSP,Role-Playing,Falcom Corporation,0.02,,,,,,
Need for Speed: Nitro,Wii,Racing,Electronic Arts,0.77,2-Nov-09,69.0,41.0,7.3,32.0,EA Montreal
Puyo Puyo! 15th Anniversary,PSP,Puzzle,Sega,0.02,,,,,,
Pirates: Hunt For Blackbeard's Booty,Wii,Adventure,Activision,0.18,28-Oct-08,,,tbd,,Activision
Gundam Memories: Tatakai no Kioku,PSP,Action,Namco Bandai Games,0.12,,,,,,
AKB1/48: Idol to Koishitara...,PSP,Misc,Namco Bandai Games,0.41,,,,,,
BioShock,X360,Shooter,Take-Two Interactive,2.72,21-Aug-07,96.0,88.0,8.8,1893.0,"Irrational Games, 2K Marin"
Indiana Jones and the Staff of Kings,Wii,Action,Activision,0.7,9-Jun-09,55.0,32.0,7,26.0,Artificial Mind and Movement
Imagine: Fashion Designer,3DS,Simulation,Ubisoft,0.07,11-Oct-11,,,tbd,,Ubisoft Sofia
Farming Simulator 2013,X360,Action,Focus Home Interactive,0.18,19-Nov-13,33.0,12.0,5.7,23.0,Giants Software
World Soccer Winning Eleven 9 (JP & Others sales),PSP,Sports,Konami Digital Entertainment,1.2,,,,,,
Dragoneer's Aria,PSP,Role-Playing,Tecmo Koei,0.07,21-Aug-07,56.0,30.0,6.4,5.0,Hit Maker
Spelling Challenges and more!,PSP,Misc,Crave Entertainment,0.25,,,,,,
Satisfashion,Wii,Misc,Destineer,0.01,Apr-10,,,,,XS Games
Brothers in Arms: Hell's Highway,X360,Shooter,Ubisoft,0.84,23-Sep-08,76.0,65.0,8.4,132.0,Gearbox Software
LEGO Batman 2: DC Super Heroes,Wii,Action,Warner Bros. Interactive Entertainment,1.14,19-Jun-12,,,6.6,9.0,TT Games
NBA Live 10,PS3,Sports,Electronic Arts,0.52,6-Oct-09,81.0,32.0,7.5,24.0,EA Canada
Xenoblade Chronicles,Wii,Role-Playing,Nintendo,0.85,6-Apr-12,92.0,59.0,8.6,390.0,Monolith Soft
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,Adventure,Sony Computer Entertainment,0.19,,,,,,
Tales of the World: Radiant Mythology 2,PSP,Role-Playing,Namco Bandai Games,0.33,,,,,,
Air Conflicts: Secret Wars,X360,Simulation,bitComposer Games,0.06,28-Sep-11,61.0,14.0,tbd,,Games Farm
Metal Max 4: Gekkou no Diva,3DS,Role-Playing,Kadokawa Shoten,0.04,,,,,,
Obscure: The Aftermath,Wii,Adventure,Playlogic Game Factory,0.12,25-Mar-08,53.0,19.0,7.7,11.0,Hydravision
Scooby-Doo! Who's Watching Who?,PSP,Adventure,THQ,0.07,,,,,,
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,Adventure,Russel,0.02,,,,,,
Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark,3DS,Role-Playing,Nintendo,0.04,,,,,,
Sushi Go-Round,Wii,Simulation,Asylum Entertainment,0.04,30-Mar-10,,,tbd,,SouthPeak Games
Scene It? Lights Camera Action,X360,Misc,Microsoft Game Studios,0.47,6-Nov-07,73.0,41.0,8.1,20.0,"Screenlife Games, WXP"
Shin Megami Tensei: Persona 3 Portable,PSP,Role-Playing,Ghostlight,0.58,6-Jul-10,89.0,40.0,8.9,173.0,Atlus
Wizardry Twin Pack,PS3,Role-Playing,Acquire,0.02,,,,,,
Metro: Last Light,PS3,Shooter,Deep Silver,0.29,14-May-13,80.0,23.0,8.4,407.0,4A Games
Super Monkey Ball: Step & Roll,Wii,Action,Sega,0.36,,,,,,
Nisenochigiri: Omoide no Saki e,PSP,Adventure,Idea Factory,0.03,,,,,,
Disgaea 4: A Promise Unforgotten,PSV,Role-Playing,Nippon Ichi Software,0.03,TBA 2014,,,,,Nippon Ichi Software
The Legend of Heroes III: Song of the Ocean,PSP,Role-Playing,Namco Bandai Games,0.03,23-Jan-07,58.0,17.0,8.3,4.0,Microvision
Mahjong 3D: Warriors of the Emperor,3DS,Misc,DTP Entertainment,0.02,27-Dec-12,,,tbd,,Engine Software
Gold's Gym: Cardio Workout (Others sales),Wii,Sports,Ubisoft,0.3,,,,,,
Outdoors Unleashed: Alaska 3D,3DS,Sports,Mastiff,0.01,13-Dec-11,,,tbd,,Mastiff
ESPN: Sports Connection,WiiU,Sports,Ubisoft,0.16,13-Nov-12,31.0,13.0,2.4,15.0,Ubisoft
Supreme Commander,X360,Strategy,505 Games,0.06,23-Jun-08,56.0,24.0,6.6,15.0,"Gas Powered Games, Hellbent Games"
Surf's Up,X360,Sports,Ubisoft,0.1,30-May-07,61.0,15.0,6.1,9.0,Ubisoft
Triple Crown Championship Snowboarding,Wii,Sports,Destineer,0.02,,,,,,
MLB 12: The Show,PSV,Sports,Sony Computer Entertainment,0.16,6-Mar-12,76.0,15.0,8,39.0,SCEA San Diego Studios
Castlevania Judgment,Wii,Fighting,Konami Digital Entertainment,0.15,18-Nov-08,49.0,33.0,6.2,48.0,Eighting
Boom Blox,Wii,Puzzle,Electronic Arts,1.18,6-May-08,85.0,61.0,8.7,95.0,EA LA
Samurai Shodown Sen,X360,Fighting,Rising Star Games,0.06,30-Mar-10,46.0,33.0,5.3,7.0,K2 LLC
DanceDanceRevolution,X360,Simulation,Konami Digital Entertainment,0.06,12-Apr-11,,,tbd,,Konami
Pinball Hall of Fame: The Williams Collection,X360,Misc,Crave Entertainment,0.1,22-Sep-09,83.0,18.0,8.9,15.0,Farsight Studios
Rock Band: Metal Track Pack,X360,Misc,MTV Games,0.12,22-Sep-09,,,tbd,,Harmonix Music Systems
Challenge Me: Word Puzzles,Wii,Puzzle,O-Games,0.01,3-May-11,,,tbd,,O-Games
Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,Adventure,Namco Bandai Games,0.05,,,,,,
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,Sports,Konami Digital Entertainment,0.16,,,,,,
Pippa Funnell: Ranch Rescue,Wii,Adventure,Ubisoft,0.01,,,,,,
The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,Fighting,SNK Playmore,0.03,,,,,,
Hooked! Real Motion Fishing,Wii,Sports,505 Games,0.23,,,,,,
Bleach: Versus Crusade,Wii,Fighting,Sega,0.06,,,,,,
Way of the Samurai 3,X360,Action,Gamebridge,0.19,20-Oct-09,55.0,22.0,6.9,11.0,Acquire
Trick x Logic: Season 2,PSP,Adventure,Sony Computer Entertainment,0.04,,,,,,
Major Minor's Majestic March,Wii,Misc,Majesco Entertainment,0.05,2-Apr-09,46.0,16.0,tbd,,NanaOn-Sha
Kurogane no Linebarrels,PSP,Role-Playing,Hudson Soft,0.01,,,,,,
Shrek: Forever After,X360,Platform,Activision,0.08,18-May-10,62.0,22.0,6.3,8.0,Xpec
Mercenaries 2: World in Flames,PS3,Shooter,Electronic Arts,0.82,31-Aug-08,72.0,43.0,7.1,63.0,Pandemic Studios
Zumba Fitness 2,Wii,Sports,Majesco Entertainment,2.71,15-Nov-11,,,tbd,,Majesco Games
Nicktoons MLB,X360,Sports,Take-Two Interactive,0.09,13-Sep-11,,,tbd,,High Voltage Software
Sengoku Basara 3 Utage,PS3,Action,Capcom,0.22,,,,,,
Fate/Unlimited Codes Portable,PSP,Fighting,Capcom,0.05,,,,,,
Mario Strikers Charged,Wii,Sports,Nintendo,2.53,30-Jul-07,79.0,47.0,8.1,96.0,Next Level Games
Winning Post 7 2012,PSP,Sports,Ackkstudios,0.04,,,,,,
One Piece: Pirate Warriors 2,PS3,Action,Namco Bandai Games,0.58,3-Sep-13,71.0,35.0,7.4,39.0,Omega Force
Rayman Origins,3DS,Platform,Ubisoft,0.08,6-Nov-12,71.0,8.0,6.1,41.0,UBlart Montpellier
NBA Live 09,PSP,Sports,Electronic Arts,0.36,7-Oct-08,,,7.3,8.0,EA Sports
NHL 07,X360,Sports,Electronic Arts,0.27,12-Sep-06,79.0,49.0,5.3,165.0,EA Sports
FIFA 06: Road to FIFA World Cup,X360,Sports,Electronic Arts,0.14,16-Nov-05,62.0,39.0,5.9,31.0,EA Canada
The Godfather: Dons Edition,PS3,Action,Electronic Arts,0.27,,,,,,
Rugby League 3,Wii,Sports,Alternative Software,0.07,,,,,,
Code of Princess,3DS,Action,Agatsuma Entertainment,0.17,9-Oct-12,67.0,38.0,7.7,56.0,Agatsuma Entertainment
Super Robot Taisen OG Infinite Battle,PS3,Fighting,Namco Bandai Games,0.03,,,,,,
Persona 4: Arena,X360,Fighting,Atlus,0.1,7-Aug-12,83.0,21.0,7.4,47.0,Arc System Works
Rango: The Video Game,PS3,Action,Electronic Arts,0.15,1-Mar-11,65.0,23.0,5.4,5.0,Behaviour Interactive
PAC-MAN and the Ghostly Adventures,3DS,Action,Namco Bandai Games,0.03,5-Nov-13,,,tbd,,Namco Bandai Games America
Cabela's Adventure Camp,PS3,Misc,Activision,0.07,1-Nov-11,,,tbd,,Activision
The Sky Crawlers: Innocent Aces,Wii,Simulation,Namco Bandai Games,0.11,12-Jan-10,74.0,42.0,8.6,11.0,Access Games
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,Action,Namco Bandai Games,0.05,,,,,,
Ghostbusters: The Video Game,PS3,Action,Sony Computer Entertainment,0.78,16-Jun-09,78.0,74.0,7.9,70.0,Terminal Reality
Way of the Samurai 2 Portable,PSP,Action,Spike,0.04,,,,,,
Sega Rally Revo,PS3,Racing,Sega,0.61,9-Oct-07,75.0,40.0,6.3,15.0,SEGA Racing Studio
La Pucelle: Ragnarok,PSP,Role-Playing,Nippon Ichi Software,0.03,,,,,,
Peppa Pig: The Game,Wii,Misc,Pinnacle,0.36,,,,,,
Spider-Man: Edge of Time,Wii,Action,Activision,0.08,4-Oct-11,62.0,9.0,3,4.0,Beenox
Atelier Totori: The Adventurer of Arland,PSV,Role-Playing,Gust,0.09,,,,,,
Lair,PS3,Action,Sony Computer Entertainment,0.48,30-Aug-07,53.0,55.0,6.4,212.0,"Factor 5, SCE/WWS"
Shaun White Snowboarding,PS3,Sports,Ubisoft,0.62,16-Nov-08,63.0,30.0,6.3,24.0,Ubisoft Montreal
Lumines: Puzzle Fusion,PSP,Puzzle,Ubisoft,1.1,,,,,,
The Biggest Loser,Wii,Sports,THQ,1.05,6-Oct-09,74.0,5.0,8.1,32.0,Blitz Games
NBA 2K10,X360,Sports,Take-Two Interactive,0.91,6-Oct-09,82.0,46.0,7.6,33.0,Visual Concepts
Dragon Quest Monsters: Battle Road Victory,Wii,Strategy,Square Enix,0.32,,,,,,
Sengoku Musou 3: Moushouden ,Wii,Action,Ackkstudios,0.08,,,,,,
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,Sports,Konami Digital Entertainment,1.0,,,,,,
The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,6.92,19-Nov-06,95.0,73.0,9,1250.0,Nintendo
The Ant Bully,Wii,Platform,Midway Games,0.09,5-Dec-06,45.0,12.0,1.4,5.0,Artificial Mind and Movement
Halo 4,X360,Shooter,Microsoft Game Studios,8.94,6-Nov-12,87.0,87.0,6.9,2605.0,343 Industries
Man vs. Wild,X360,Adventure,Crave Entertainment,0.09,26-Apr-11,,,4.7,7.0,Scientifically Proven
ExerBeat,Wii,Sports,Namco Bandai Games,0.26,17-May-11,60.0,9.0,tbd,,Namco Bandai Games
Toki no Kizuna: Hanayui Tsuzuri,PSP,Adventure,Idea Factory,0.02,,,,,,
Vitamin X: Detective B6,PSP,Adventure,D3Publisher,0.02,,,,,,
Lost Planet 2,X360,Shooter,Capcom,0.72,11-May-10,68.0,63.0,6.2,85.0,Capcom
WSC Real 11: World Snooker Championship,PS3,Sports,Koch Media,0.05,,,,,,
Tom Clancy's Rainbow Six: Vegas,PS3,Shooter,Ubisoft,1.22,26-Jun-07,86.0,32.0,7.3,61.0,Ubisoft Montreal
pro evolution soccer 2011,Wii,Sports,Konami Digital Entertainment,0.21,23-Nov-10,78.0,9.0,5,6.0,Konami
Wii Fit U,WiiU,Action,Nintendo,0.18,10-Jan-14,71.0,17.0,6.1,33.0,Nintendo
Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,Adventure,Konami Digital Entertainment,0.07,,,,,,
DJ Hero,PS3,Misc,Activision,0.85,27-Oct-09,86.0,53.0,7.8,48.0,FreeStyleGames
Armored Core 4,PS3,Simulation,505 Games,0.18,20-Mar-07,65.0,36.0,6.8,21.0,From Software
Inazuma Eleven Go 2: Chrono Stone,3DS,Sports,Level 5,0.46,,,,,,
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,Shooter,Sony Computer Entertainment,1.1,8-Nov-05,82.0,44.0,8.7,58.0,Zipper Interactive
Tokushu Houdoubu,PSV,Adventure,Nippon Ichi Software,0.03,,,,,,
uDraw Studio: Instant Artist,X360,Misc,THQ,0.01,15-Nov-11,54.0,5.0,5.6,5.0,THQ
Reel Fishing Paradise 3D,3DS,Sports,Marvelous Interactive,0.16,21-Jun-11,57.0,5.0,tbd,,Natsume
MLB 07: The Show,PSP,Sports,Sony Computer Entertainment,0.28,27-Feb-07,82.0,12.0,8.5,8.0,SCEA San Diego Studios
The Godfather (US & Others sales),X360,Action,Electronic Arts,0.21,,,,,,
de Blob 2,X360,Platform,THQ,0.12,22-Feb-11,77.0,54.0,7.7,20.0,Blue Tongue Entertainment
Skylanders: Spyro's Adventure,Wii,Action,Activision,2.66,16-Oct-11,81.0,11.0,5.3,22.0,Toys for Bob
Neighborhood Games,Wii,Misc,THQ,0.18,12-Jan-09,49.0,6.0,tbd,,Jet Black Games
NBA 2K10,Wii,Sports,Take-Two Interactive,0.37,9-Nov-09,,,8.6,11.0,Visual Concepts
Dennou Senki Virtual-On Force,X360,Fighting,Sega,0.03,,,,,,
The Ultimate Battle of the Sexes,Wii,Misc,DTP Entertainment,0.01,27-Dec-11,,,tbd,,Neopica
Jikkyou Powerful Major League 2009,Wii,Sports,Konami Digital Entertainment,0.04,,,,,,
Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,Adventure,Idea Factory,0.01,,,,,,
Simple 2000 Series Wii Vol. 2: The Party Game,Wii,Misc,D3Publisher,0.01,,,,,,
Sengoku Hime: Senkou no Taika - Akatsuki no Haryuu,PS3,Action,SystemSoft Alpha,0.01,,,,,,
Pheasants Forever Wingshooter,Wii,Shooter,Unknown,0.04,,,,,,
Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,PSP,Action,SystemSoft,0.01,,,,,,
Generator Rex: Agent of Providence,PS3,Action,Activision,0.05,1-Nov-11,,,tbd,,Activision
Time Travelers,PSP,Adventure,Level 5,0.01,,,,,,
Operation Flashpoint: Dragon Rising,PS3,Shooter,Codemasters,0.88,6-Oct-09,76.0,42.0,6.4,48.0,Codemasters
Ys vs. Sora no Kiseki: Alternative Saga,PSP,Action,Falcom Corporation,0.06,,,,,,
Power Stone Collection,PSP,Action,Capcom,0.08,31-Oct-06,74.0,34.0,tbd,,Capcom
Agatha Christie: And Then There Were None,Wii,Adventure,The Adventure Company,0.07,25-Feb-08,50.0,23.0,6.3,11.0,AWE Games
Cooking Mama 5,3DS,Simulation,Office Create,0.02,,,,,,
Cloudy With a Chance of Meatballs,Wii,Adventure,Ubisoft,0.1,15-Sep-09,68.0,4.0,tbd,,Ubisoft Shanghai
Cook Wars,Wii,Misc,Ubisoft,0.04,24-Nov-09,,,tbd,,Ubisoft
The Smurfs: Dance Party,Wii,Misc,Ubisoft,0.25,19-Jul-11,,,tbd,,Land Ho!
Rapala Trophies,PSP,Sports,Activision,0.04,1-Sep-06,,,tbd,,Sand Grain Studios
Just Dance 3,X360,Misc,Ubisoft,1.94,7-Oct-11,70.0,34.0,7.9,14.0,Ubisoft
Skate,X360,Sports,Electronic Arts,0.69,14-Sep-07,86.0,59.0,8.4,124.0,EA Black Box
Quake 4,X360,Shooter,Activision,0.34,18-Nov-05,75.0,52.0,6.7,68.0,Raven Software
Gallop & Ride!,Wii,Sports,THQ,0.14,,,,,,
Pro Evolution Soccer 2012,Wii,Sports,Konami Digital Entertainment,0.2,15-Nov-11,79.0,9.0,6.7,11.0,Konami
Grand Theft Auto: Chinatown Wars,PSP,Adventure,Take-Two Interactive,1.01,20-Oct-09,90.0,77.0,7.2,101.0,Rockstar Leeds
Backyard Baseball '10,Wii,Sports,Atari,0.1,27-Mar-09,,,tbd,,Farsight Studios
Shrek: Forever After,PS3,Platform,Activision,0.16,18-May-10,57.0,11.0,tbd,,Xpec
Devil May Cry 4,PS3,Action,Capcom,1.5,5-Feb-08,84.0,63.0,8.2,219.0,Capcom
Guitar Hero: Warriors of Rock,Wii,Misc,Activision,0.88,28-Sep-10,77.0,26.0,7.3,13.0,"Vicarious Visions, Neversoft Entertainment"
Dark Sector,PS3,Shooter,D3Publisher,0.46,25-Mar-08,72.0,47.0,7.9,56.0,Digital Extremes
Muchi Muchi Pork & Pink Sweets,X360,Shooter,Cave,0.02,,,,,,
Tales of Vesperia,PS3,Role-Playing,Namco Bandai Games,0.43,TBA,,,,,Bandai Namco Games
Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,Fighting,Konami Digital Entertainment,0.03,,,,,,
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,Adventure,ChunSoft,0.03,,,,,,
Otomedius Gorgeous,X360,Shooter,Konami Digital Entertainment,0.03,,,,,,
Burnout Paradise: The Ultimate Box,PS3,Racing,Electronic Arts,0.05,,,,,,
Jikkyou Powerful Pro Yakyuu Portable,PSP,Sports,Konami Digital Entertainment,0.15,,,,,,
Romeo Vs. Juliet,PSP,Adventure,Quinrose,0.01,,,,,,
Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,Sports,Sega,0.01,,,,,,
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,Wii,Fighting,Namco Bandai Games,0.04,,,,,,
Tayutama: Kiss on my Deity,X360,Adventure,5pb,0.01,,,,,,
Cabela's Trophy Bucks,X360,Sports,Activision Value,0.04,19-Sep-07,39.0,4.0,tbd,,FUN Labs
Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,Adventure,Tecmo Koei,0.02,,,,,,
